1#84.176967,39.597662,1.597716,1.590499;19.910204,33.577282,1.564875,0.544587;47.812777,62.988948,0.731859,1.010312;91.756145,63.596987,1.298176,0.233070;1.659424,24.448986,0.312878,1.597829;40.117560,13.179510,0.244800,2.011457;51.415148,83.966927,1.212893,0.522016;52.623053,49.416185,1.941140,0.572699;52.752826,77.171170,0.766095,1.812665;35.431016,80.785222,1.865572,0.115894;52.638858,8.729968,0.402041,1.161212;34.895632,6.511391,0.086728,0.969779;24.009217,97.232361,1.820015,1.677117;54.127858,37.623966,1.515991,1.040295;53.246720,4.126277,0.846247,2.101190;72.243924,28.557793,1.496721,1.289088;68.872930,16.774829,0.855602,1.788091;33.213656,22.966745,1.812116,0.697845;95.773290,59.038500,1.214677,1.772375;92.555420,39.980872,1.539294,1.375663;48.439176,21.765630,1.901693,1.822420;88.206138,64.227938,1.134508,1.158377;78.687812,30.792614,0.857977,0.484315;27.708249,55.677936,0.862638,0.331991;10.417224,12.760667,1.011210,1.541717
2#84.339889,39.756367,1.660717,1.583609;20.069587,33.630597,1.622792,0.521714;47.886071,63.088785,0.734037,0.986417;91.872698,63.615347,1.032883,0.134138;1.694573,24.607716,0.390099,1.576766;40.144715,13.382141,0.298294,2.041171;51.535219,84.012106,1.188533,0.381551;52.816723,49.472192,1.932257,0.547425;52.826008,77.355659,0.697550,1.877124;35.620311,80.794503,1.920338,0.069728;52.680915,8.829279,0.439081,0.825015;34.908937,6.613838,0.179374,1.079151;24.192743,97.397629,1.850502,1.628235;54.279007,37.729526,1.506982,1.070904;53.328240,4.360424,0.784162,2.581749;72.395652,28.687643,1.537852,1.307912;68.955680,16.955988,0.799405,1.835096;33.397500,23.036340,1.864764,0.694051;95.884581,59.221319,1.011162,1.884002;92.700319,40.119203,1.358675,1.390971;48.629352,21.946090,1.901843,1.786786;88.346218,64.335429,1.667102,0.991434;78.769899,30.844229,0.783766,0.547998;27.797335,55.710306,0.919080,0.315420;10.520411,12.916924,1.052534,1.583412
3#84.510710,39.914372,1.755709,1.576494;20.236238,33.681031,1.710223,0.486953;47.959578,63.185868,0.736102,0.955260;91.956439,63.621500,0.641938,-0.011073;1.739381,24.763816,0.506053,1.545242;40.178512,13.588594,0.377655,2.087883;51.652262,84.039618,1.152321,0.168691;53.009279,49.524992,1.918847,0.508588;52.890598,77.548502,0.594263,1.979735;35.816462,80.798037,2.002663,0.000937;52.727872,8.885834,0.500066,0.306069;34.933779,6.729963,0.317454,1.243356;24.380054,97.556805,1.895722,1.555294;54.429030,37.838925,1.493470,1.117076;53.401687,4.655357,0.684775,3.316898;72.552604,28.819861,1.601181,1.336456;69.031232,17.142809,0.711627,1.901320;33.587990,23.105491,1.945036,0.688959;95.970136,59.418226,0.699930,2.054157;92.822622,40.259480,1.087398,1.414569;48.819491,22.122104,1.900932,1.733484;88.552665,64.421577,2.461830,0.731526;78.842545,30.903738,0.669147,0.642179;27.893408,55.740551,1.002372,0.289470;10.628783,13.078394,1.114901,1.645995
4#84.692685,40.071654,1.883783,1.569149;20.413108,33.727395,1.827185,0.440321;48.033286,63.279481,0.738047,0.916996;91.994574,63.611075,0.120747,-0.197436;1.797718,24.916244,0.660689,1.503318;40.221517,13.800613,0.482444,2.152503;51.765099,84.042100,1.104419,-0.119057;53.200264,49.573198,1.900861,0.455532;52.943088,77.753720,0.455530,2.124631;36.022239,80.793555,2.112894,-0.090568;52.782486,8.880137,0.592219,-0.420003;34.974679,6.865246,0.500542,1.462311;24.572616,97.707489,1.955525,1.458391;54.577476,37.953730,1.475447,1.179027;53.462986,5.037722,0.541211,4.330408;72.717042,28.955427,1.687568,1.374856;69.096426,17.337221,0.592254,1.986924;33.787908,23.174046,2.053322,0.682157;96.018910,59.635193,0.275540,2.285165;92.913226,40.402540,0.724684,1.446615;49.009484,22.291906,1.898931,1.662569;88.852412,64.476503,3.533114,0.367011;78.901587,30.974130,0.511699,0.765653;27.999155,55.767730,1.112572,0.254111;10.744445,13.247166,1.198351,1.729436
5#84.889202,40.228214,2.046562,1.562040;20.603165,33.768500,1.973957,0.381794;48.107181,63.368920,0.739859,0.871788;91.973154,63.580523,-0.549142,-0.413604;1.873452,25.063962,0.853991,1.451027;40.276251,14.020037,0.612235,2.235963;51.872573,84.011897,1.045060,-0.485000;53.389220,49.615352,1.878267,0.387549;52.979886,77.975815,0.280423,2.317270;36.240456,80.778782,2.251429,-0.204895;52.848341,8.789207,0.724884,-1.398597;35.035813,7.024697,0.722141,1.726693;24.771881,97.847290,2.029770,1.337619;54.723893,38.075532,1.452894,1.257021;53.507032,5.537918,0.339717,5.673518;72.891325,29.095341,1.798093,1.423431;69.148100,17.541171,0.441236,2.092076;34.000077,23.241814,2.190064,0.673190;96.019215,59.878447,-0.269432,2.579916;92.962911,40.549230,0.269015,1.487203;49.199221,22.453734,1.895806,1.573996;89.275081,64.488623,4.920269,-0.124624;78.942610,31.058263,0.308768,0.917011;28.117272,55.790901,1.249758,0.209309;10.869509,13.425324,1.302930,1.833719
6#85.103862,40.384105,2.246633,1.555780;20.809393,33.803159,2.150593,0.311379;48.181250,63.453501,0.741517,0.819816;91.874891,63.528278,-1.416113,-0.631297;1.970450,25.205932,1.085982,1.388376;40.345195,14.248795,0.766632,2.339214;51.973556,83.940962,0.974593,-0.933695;53.575686,49.649923,1.851043,0.303861;52.997290,78.219936,0.067671,2.565147;36.473964,80.751429,2.418734,-0.342174;52.931038,8.582140,0.929041,-2.742740;35.121034,7.212866,0.982290,2.036691;24.979286,97.973824,2.118319,1.193070;54.867826,38.205953,1.425772,1.351391;53.526546,6.194389,0.050554,7.455902;73.077937,29.240651,1.934155,1.482768;69.183086,17.756623,0.258480,2.216957;34.227369,23.308551,2.355776,0.661549;95.958477,60.154545,-0.945325,2.942057;92.962255,40.700408,-0.282151,1.536342;49.388587,22.605813,1.891504,1.467582;89.856826,64.442675,6.714635,-0.794327;78.960915,31.158840,0.057325,1.094523;28.250461,55.809118,1.414034,0.155033;11.006090,13.614952,1.428682,1.958848
7#85.340591,40.539453,2.487951,1.551185;21.034781,33.830182,2.357165,0.229075;48.255475,63.532556,0.742991,0.761282;91.673328,63.458787,-2.615154,-0.758508;2.092586,25.341117,1.356740,1.315336;40.430790,14.488918,0.945278,2.463235;52.066963,83.820694,0.893557,-1.471659;53.759198,49.675296,1.819192,0.203599;52.991449,78.492142,-0.184506,2.878970;36.725668,80.709192,2.615363,-0.502564;53.042830,8.205899,1.306808,-4.782089;35.234207,7.434331,1.281172,2.392606;25.196254,98.084719,2.221048,1.024829;55.008816,38.346650,1.394024,1.462557;53.507839,7.067012,-0.424703,9.996554;73.279525,29.392481,2.097610,1.553838;69.198202,17.985559,0.043833,2.361760;34.472711,23.373961,2.551064,0.646660;95.823251,60.469998,-1.759198,3.367002;92.901507,40.856921,-0.932804,1.593925;49.577460,22.746341,1.885953,1.342977;90.650201,64.313085,9.152857,-1.797480;78.951470,31.278365,-0.246233,1.295987;28.401481,55.821435,1.606356,0.091309;11.156307,13.818137,1.575658,2.104846
8#85.603812,40.694480,2.776466,1.549354;21.282327,33.848379,2.593764,0.134868;48.329837,63.605440,0.744240,0.696414;91.310073,63.409923,-4.649943,-0.218783;2.243744,25.468476,1.666407,1.231834;40.535447,14.742532,1.147867,2.609043;52.151782,83.641680,0.802820,-2.108628;53.939294,49.689764,1.782734,0.085774;52.958289,78.799828,-0.478688,3.274736;36.998536,80.649751,2.841982,-0.686258;53.249689,7.486425,2.830365,-9.607392;35.379223,7.693705,1.619140,2.794880;25.424198,98.177609,2.337836,0.832978;55.146395,38.499331,1.357567,1.591048;53.385366,8.332600,-2.024754,15.315201;73.498955,29.552081,2.290975,1.638163;69.190247,18.229981,-0.202922,2.526696;34.739097,23.437687,2.776649,0.627862;95.598561,60.831737,-2.734603,3.867774;92.770417,41.019601,-1.688998,1.659667;49.765710,22.873471,1.879053,1.199615;91.761604,64.019487,13.075201,-4.074488;78.908840,31.419090,-0.606368,1.518512;28.573142,55.826906,1.826867,0.018110;11.322285,14.036967,1.743912,2.271766
9#85.898694,40.849538,3.121171,1.551804;21.555041,33.856559,2.860509,0.028729;48.404309,63.671535,0.745212,0.625472;90.854617,63.556385,-4.459169,3.148026;2.427824,25.586955,2.015201,1.137750;40.661548,15.011869,1.374147,2.777705;52.227115,83.393246,0.703840,-2.860044;54.115517,49.691515,1.741721,-0.050752;52.893417,79.152457,-0.818757,3.777861;37.295605,80.570763,3.099396,-0.893490;53.658340,6.597807,5.342671,-8.164953;35.560017,7.995655,1.996746,3.244118;25.664519,98.250138,2.468575,0.617590;55.280088,38.665760,1.316287,1.737533;53.054211,9.831875,-4.598330,14.670313;73.739390,29.720893,2.517725,1.738077;69.155997,18.491916,-0.482085,2.711997;35.029599,23.499300,3.033394,0.604396;95.266168,61.248445,-3.913253,4.466395;92.557972,41.189234,-2.559903,1.733001;49.953196,22.985285,1.870668,1.036672;93.094678,63.259009,13.586292,-11.135053;78.827080,31.582925,-1.028830,1.758176;28.768273,55.824582,2.075752,-0.064590;11.506156,14.273540,1.933503,2.459687
10#86.231553,41.005164,3.536011,1.560730;21.855943,33.853526,3.157545,-0.089386;48.478862,63.730246,0.745837,0.548758;90.442264,64.033087,-3.787901,6.386020;2.648756,25.695488,2.403429,1.032905;40.811452,15.299272,1.623932,2.970352;52.292268,83.062608,0.599225,-3.752715;54.287414,49.678613,1.696236,-0.207305;52.791933,79.562979,-1.210923,4.432574;37.620004,80.469862,3.388583,-1.124536;54.313913,5.876601,7.768773,-6.259166;35.780594,8.344917,2.414780,3.741127;25.918606,98.299954,2.613168,0.378735;55.409404,38.847779,1.270031,1.902856;52.468828,11.248817,-7.109343,13.668519;74.004413,29.900655,2.782744,1.857155;69.092190,18.773412,-0.794052,2.917918;35.347386,23.558288,3.322342,0.575369;94.800075,61.734945,-5.408611,5.263596;92.251992,41.366526,-3.559701,1.812844;50.139760,23.079769,1.860619,0.853001;94.456533,61.785140,13.650803,-18.342331;78.699573,31.771307,-1.521305,2.009473;28.989723,55.813512,2.353250,-0.156819;11.710056,14.529961,2.144493,2.668727
